Python Memory Usage,Java Memory Usage,Python CPU Usage,Java CPU Usage
0,419651,0,250.0
0,150204,0,326.7
0,219046,0,313.3
0,334247,0,413.4
0,356586,0,340.0
0,400150,0,346.7
0,411939,0,433.3
0,471702,0,280.0
0,503138,0,43.8
0,529285,0,320.0
0,532962,0,266.7
0,576571,0,106.7
0,616696,0,93.8
0,616692,0,100.0
0,616712,0,100.0
0,616712,0,100.0
0,616728,0,93.8
0,616748,0,100.0
0,616750,0,100.0
0,616764,0,106.7
0,616774,0,93.8
0,615610,0,100.0
0,615614,0,100.0
0,615616,0,93.8
0,615640,0,106.7
0,615664,0,100.0
0,615682,0,93.8
0,615686,0,93.8
0,615708,0,106.7
0,615714,0,100.0
0,615696,0,133.3
0,617244,0,106.7
0,617255,0,100.0
0,617250,0,106.7
0,617246,0,100.0
0,617252,0,100.0
0,617262,0,106.7
0,617242,0,100.0
0,617293,0,100.0
0,617296,0,100.0
0,617309,0,100.0
0,616968,0,100.0
0,616978,0,106.7
0,616986,0,100.0
0,616980,0,100.0
0,617022,0,100.0
0,617042,0,106.2
0,617044,0,100.0
0,617054,0,93.8
0,617096,0,156.2
0,617202,0,100.0
0,617256,0,100.0
0,617242,0,106.7
0,617252,0,106.7
0,617259,0,100.0
0,617258,0,100.0
0,617268,0,100.0
0,617250,0,100.0
0,617254,0,93.8
0,617275,0,100.0
0,617280,0,113.4
0,617266,0,106.7
0,617269,0,100.0
0,617276,0,100.0
0,617288,0,100.0
0,617302,0,106.7
0,617302,0,100.0
0,617324,0,106.7
0,617368,0,100.0
0,617404,0,100.0
0,617418,0,100.0
0,617416,0,106.7
0,617418,0,100.0
0,617470,0,106.7
0,617462,0,106.7
0,617494,0,106.7
0,617494,0,100.0
0,617496,0,100.0
0,617490,0,100.0
0,617500,0,100.0
0,617498,0,113.4
0,617528,0,106.7
0,617516,0,100.0
0,617520,0,100.0
0,617522,0,100.0
0,617525,0,100.0
0,617506,0,106.7
0,617538,0,100.0
0,617532,0,106.7
0,617540,0,106.7
0,617546,0,100.0
0,617538,0,100.0
0,617538,0,106.7
0,617532,0,106.7
0,617534,0,100.0
0,617564,0,100.0
0,617530,0,120.1
0,617586,0,106.7
0,617590,0,106.7
0,617584,0,106.7
0,617602,0,100.0
0,617606,0,93.8
0,617594,0,93.8
0,617624,0,100.0
0,617608,0,106.7
0,617622,0,100.0
0,617630,0,100.0
0,617649,0,100.0
0,617626,0,106.7
0,617634,0,100.0
0,617658,0,100.0
0,617650,0,100.0
0,617652,0,100.0
0,617668,0,100.0
0,617662,0,100.0
0,617666,0,100.0
0,617658,0,100.0
0,617677,0,100.0
0,617681,0,100.0
0,617686,0,100.0
0,617682,0,106.7
0,617690,0,100.0
0,617680,0,100.0
0,617672,0,106.7
0,544621,0,0
