Python Memory Usage,Java Memory Usage
37602,1331384
37600,1331428
37603,1331420
37604,1331407
37607,1331436
37600,1331412
37606,1331406
37605,1331426
37602,1331398
37602,1331437
37607,1331414
37607,1331433
37604,1331431
37595,1331442
37610,1331437
37604,1331440
37609,1331431
37611,1331461
37598,1331488
37608,1331463
37604,1331467
37606,1331459
37606,1331475
37601,1331452
37604,1331483
37596,1331475
37597,1331482
37611,1331486
37616,1331471
37613,1331486
37611,1331482
37607,1331485
37614,1331508
37597,1331490
37597,1331485
37609,1331490
37609,1331461
37609,1331469
37600,1331467
37610,1331474
37611,1331510
37615,1331514
37617,1331528
37651,1331544
37658,1331568
37652,1331565
37651,1331547
37652,1331562
37653,1331562
37647,1331553
37651,1331530
37654,1331539
37651,1331556
37661,1331570
37654,1331550
37643,1331551
37657,1331580
37651,1331594
37649,1333627
37649,1333619
37657,1333635
37656,1333634
37654,1333642
37647,1333595
37645,1333638
37644,1333605
37825,1333964
37837,1035940
38085,1024914
