Python Memory Usage,Java Memory Usage,Python CPU Usage,Java CPU Usage
35340,710245,0,193.3
35389,158006,0,406.7
35357,221428,0,326.7
35332,324142,0,253.3
35333,398487,0,443.8
35306,427318,0,400.0
35327,484696,0,440.0
35331,492911,0,640.0
35298,566994,0,580.0
